"","tau","beta","kappa","mean_E1"
"61",0.118985489530908,0.0694186590682348,0.0556198621731317,2.72481679080882
"62",0.132918141663256,0.0746671457021505,0.058433863773815,1.89438574591318
"63",0.128107737924069,0.0822327698305063,0.0608843310420685,4.65773518495227
"64",0.0985905662826176,0.0565959067332648,0.0525133880708737,5.97583300409899
"65",0.0914437745922681,0.057695199817795,0.0575225149889276,1.34128616858271e-05
"66",0.142826580438032,0.0674304867378581,0.0746755465741901,26.3651506413449
"67",0.144083480563046,0.0916253439414782,0.0646837011555338,1.94190848223988
"68",0.136784792622299,0.0910786918665488,0.0566340731910712,14.740920552377
"69",0.100637713960722,0.0484971826863138,0.0660535084024915,9.09532196533568
"70",0.133949869087783,0.0742745661335214,0.0695885364498212,9.97740829381447
"71",0.129674056182863,0.0700131226372642,0.0579423288764327,2.04395945702712e-07
"72",0.11131020325804,0.0602686452079522,0.0542776134262624,24.1623032111103
"73",0.109536473163071,0.0681701185919041,0.0618958653232809,1.87480932779595
"74",0.0982214061586427,0.0500721876029447,0.0487307608984155,9.64824599981929
"75",0.0745426588440289,0.0511211447302284,0.050260916673477,7.63138809575822e-05
"76",0.165260872534555,0.0885181490378734,0.0672138728624381,6.55623373008646
"77",0.193809240156386,0.113841100554874,0.0707924382613964,11.1921077223647
"78",0.116367179726174,0.0601921452394413,0.053528613971902,12.5219823232763
"79",0.160322442887408,0.0878740252370746,0.0644692234277547,15.6822322815712
"80",0.128743167537918,0.0468162202490252,0.0775164898432553,12.1822380454491
"81",0.129412788252449,0.0772691489534393,0.059039929633582,2.23855005444827
"82",0.109313738453297,0.0603353158880111,0.0570879495241181,1.99685009881784e-06
"83",0.169088568144991,0.0861801527822101,0.0731454880185712,1.12877326345493e-06
"84",0.159759858799593,0.12408580282997,0.0693767349643757,3.6532609967905
"85",0.112447457164588,0.0678957163061101,0.0612502868836284,0.204626896907172
"86",0.0854616825124773,0.0482081460615118,0.0558681604438003,11.1362422592496
"87",0.107034940421978,0.0658116900538693,0.0586474788105091,1.84536326939579e-09
"88",0.103492866182116,0.061345741547032,0.0586106077826875,16.8408258736396
"89",0.147412814248598,0.0813605451276583,0.0649797949777916,4.87196304252207
"90",0.166801339162791,0.117927038747007,0.076427052667109,13.2468354489284
"91",0.139850429161648,0.0619003221964368,0.0621708742513058,8.44690329120059
