"","tau","phi","kappa","psi"
"811",0.997772918824182,0.923794492558167,0.813011072184374,1.39088503566304
"812",0.761290149725387,0.874744042999025,0.853935120927593,1.41515295337044
"813",1.43333667831054,0.934064930828797,0.742576027602273,0.339449007216023
"814",1.20445253178507,0.947129431255965,0.753589907572613,0.685709576442942
"815",1.09516935229114,0.866261552294733,0.787922278797224,0.309812549268516
"816",1.10743215730204,0.887932879920513,0.805577219574782,0.241486628931635
"817",1.49412590259442,0.971794640207231,0.709540065592065,0.602508483648052
"818",1.45816432773356,0.949608911274633,0.71806567522553,0.687360820820539
"819",0.694419474240055,0.899425096443757,0.86022152289854,1.65100177985425
"820",0.986437715363771,0.932324186149784,0.800316251950654,0.848521756578534
"821",1.72366597318495,0.914144515648398,0.71706073979236,0.286148556798222
"822",0.984134300535835,0.926053823829381,0.838348505168227,1.02296062343692
"823",1.31757057935039,0.913829535773351,0.75991789734869,0.632893429964742
"824",0.959705599321723,0.849497784125081,0.773440604503842,0.392734238370191
"825",1.34416779542916,0.93427458829605,0.757894849526448,0.254169390321979
"826",0.767501420493908,0.762290996110947,0.846989349981278,0.539850561554755
"827",1.16682472008914,0.947484461190448,0.758521374153737,1.02863948441878
"828",1.42452312112267,0.917469455092512,0.709754865296929,0.53900763061005
