"","log_tau","logit_phi","logit_kappa","logit_psi"
"96",0.163137483692826,0.410569407470024,0.345550777487718,0.549470475050732
"97",0.123621922580418,0.226400220457013,0.21955400807422,0.48951815146689
"98",0.102090230713341,0.347234951437572,0.229736948035826,0.384892043325934
"99",0.126978027687977,0.323241208011356,0.273120620535028,0.458605240656332
"100",0.0946647286119087,0.471202781104535,0.201491529198024,0.318765953376176
"101",0.101171515189612,0.294512372593843,0.238374590003567,0.386994952784485
"102",0.123766215311233,0.394943348217059,0.282897073801413,0.397318011714871
"103",0.10748711747253,0.283793350529725,0.229783984691585,0.382330935672449
"104",0.111310046614139,0.290496513869753,0.220661346413161,0.429812271372613
"105",0.140862803416133,0.359570907739281,0.300029717205601,0.4853352141053
"106",0.103327522878048,0.346402375759403,0.216787728564291,0.343963143832576
"107",0.121216122373236,0.334340435186274,0.260108253212611,0.490865790781235
"108",0.112495733162649,0.376733061717028,0.245773982948609,0.366178975009082
"109",0.149857009649929,0.377456467200943,0.319298462399986,0.518482515155414
"110",0.0147385198571581,0.015536164560961,0.015239126379556,0.0154349117098126
"111",0.0126699427713785,0.0132329977894429,0.013004540932561,0.0131393476863372
"112",0.0968476977888028,0.383448864278685,0.255423574837306,0.395396439782128
"113",0.153480799371414,0.25535859642797,0.268443445412008,0.591596478014486
"114",0.00900290645786359,0.0092231856102403,0.00913138925983069,0.0091717130077845
"115",0.177062880150878,0.262539726626023,0.301389961843743,0.903171826250707
"116",0.114263062656885,0.378992754795017,0.25721976023243,0.384476755084029
"117",0.0878564590560166,0.393262919511752,0.210587905210313,0.401184146249567
"118",0.126325269058066,0.267741027750585,0.238730080789267,0.49486410857266
"119",0.137949764441727,0.328471342783367,0.286469569654312,0.469629050837502
"120",0.0964253957912703,0.316136850287326,0.234525240841086,0.33989548757056
"121",0.123136878843645,0.27536828520935,0.247646034215611,0.423444781847959
"122",0.134934159558947,0.310892064068431,0.264325825875706,0.443640572799483
"123",0.117128381693793,0.248816324495875,0.232851719639352,0.42840028346948
"124",0.134948637203624,0.197188585523541,0.207035003170907,0.599081694813683
"125",0.111205896477327,0.225581414386487,0.207881107338096,0.39868200724234
"126",0.128582678413677,0.261535163343979,0.236402974953836,0.585787393452907
"127",0.100942311696811,0.290710920593368,0.233016770680931,0.360886145656589
"128",0.112833314262916,0.277583022649218,0.235462807593336,0.447098166819105
"129",0.137684079827617,0.217399054135128,0.239371494839456,0.711818791353339
"130",0.111838185145576,0.239425629340644,0.20827254406077,0.42263246434046
"131",0.13054381977513,0.268241103292579,0.250609590516039,0.483162061023446
"132",0.101224091897111,0.262818540892972,0.193380659108243,0.371807684915636
"133",0.127527094223549,0.261759371221803,0.256848410064567,0.441270579445918
"134",0.131527745628305,0.271734293221647,0.241937033417001,0.441765943681527
"135",0.0923077185415035,0.335741119736304,0.190891872091372,0.322239025987592
"136",0.106096240864194,0.38570134000788,0.261008792726008,0.377256331148655
"137",0.107030471621095,0.331982723716303,0.218019088365155,0.396310530403431
"138",0.124845004998273,0.283416168379385,0.254053895409245,0.46516136348883
"139",0.111610456931388,0.296240245278826,0.228169839253071,0.404705719286887
"140",0.135502566231173,0.229889453148438,0.245781940607267,0.483540132221471
"141",0.0984538226733052,0.327622883187008,0.208430024480638,0.3974224468564
"142",0.119693410044677,0.235694054194462,0.212597282823153,0.487587634998515
"143",0.127306495250407,0.286067005019647,0.271705599260638,0.434400777627916
"144",0.179851707219512,0.213358506438435,0.29340809032476,0.882539963086116
"145",0.140435961035851,0.307890552846478,0.282305058465117,0.517829367955708
"146",0.100514254169266,0.404422586067669,0.244084233782625,0.438757024773727
"147",0.119315565005922,0.215157320826024,0.210051823841125,0.475064074667154
"148",0.0998031686048126,0.405761385625397,0.259340053924585,0.389032441461227
"149",0.101809397863009,0.339682867512447,0.20684842352257,0.427761666152361
"150",0.119054688105436,0.249415335263868,0.24999888023479,0.495142587754138
"151",0.106149249662129,0.232721813803731,0.190996370090847,0.387843725040069
"152",0.127587848515583,0.267075874969314,0.249691806387467,0.455475290451708
"153",0.13145892145649,0.266132632669218,0.224523267272022,0.488297216566299
"154",0.0990171542773613,0.28024149777412,0.215524124930496,0.378963222974579
"155",0.132458117777091,0.242966790596025,0.233854175520445,0.470403991231365
"156",0.127974887048889,0.279318576916157,0.231172766815558,0.515022898054014
"157",0.119481514199236,0.227963461004793,0.207691596789712,0.40834415292172
"158",0.0834624039942915,0.00816860356807075,0.0846229647301922,0.357996907624641
"159",0.0915996647664652,0.244359364254695,0.157834221922812,0.333128954997372
"160",0.152003556652158,0.311368191846162,0.29495755117687,0.555349775232055
"161",0.0897229121325284,0.457185327294541,0.224184920050029,0.366197932013997
"162",0.117911662726081,0.264401856463659,0.223856515706811,0.470757406394531
"163",0.102345710980369,0.279960074235569,0.200034344333563,0.353746834427096
"164",0.137013120362035,0.199263101850371,0.22509131867626,0.526682745631146
"165",0.142321733970618,0.372749565580922,0.279602392226787,0.452556097745894
"166",0.123266262242837,0.296836919313658,0.264698499775854,0.42588163462617
"167",0.142114186557705,0.237035107469051,0.244974736512697,0.528474725716273
"168",0.118243685355495,0.214864517394351,0.193482904272415,0.462968854242781
"169",0.101572592953701,0.271550158866138,0.212610195282893,0.38437129549958
"170",0.120751948339527,0.339947575273616,0.256392483627588,0.431920686135528
"171",0.123635869759251,0.239118396250039,0.22043558775885,0.400538875354206
"172",0.11254077959441,0.282967253376448,0.235982049315622,0.394824941344711
"173",0.0894220117626231,0.545431138219007,0.241640495948042,0.368209192029461
"174",0.1179626758411,0.298270624599284,0.248223214140616,0.423186158043818
"175",0.126886749829317,0.209077691098695,0.236442938939895,0.460694883799284
"176",0.160131440494305,0.297783124407606,0.287881459464837,0.550210607648778
"177",0.00867298449099573,0.00885969065141518,0.00876524707264779,0.00880326583739053
"178",0.103795465176869,0.300263387593902,0.217070092080716,0.363102483896711
"179",0.0981626168393718,0.264022774208573,0.20128175951076,0.356251839697726
"180",0.128556034774708,0.30181242090377,0.256737408173671,0.497758301779173
"181",0.137379136934598,0.276869869862156,0.251397813747961,0.531483342674856
"182",0.165377229261229,0.194676051866511,0.250321996349304,1.08679313633982
"183",0.158417258118307,0.259779069575798,0.273452353511458,0.549462769531881
"184",0.137639606214431,0.393151614598689,0.323823765319623,0.453517875935871
"185",0.120743279150611,0.266096710282653,0.222035748161496,0.42175214268117
"186",0.113145774351083,0.351505177359037,0.241048646103379,0.399488966317115
"187",0.129679253353384,0.246410146633667,0.245250332575211,0.509464270570188
"188",0.0947052660851155,0.627691320473209,0.283308323024696,0.50754658364858
"189",0.0974944784525603,0.373658035404515,0.239604880331736,0.390419804786436
"190",0.113948365602957,0.264857925032043,0.224721402547208,0.478469151534129
"191",0.122939708837701,0.389180271429448,0.282565327506901,0.452431577675661
"192",0.12102064829242,0.204580348942936,0.204078258683652,0.510800138112696
"193",0.101534751934341,0.445896415478159,0.260016299635538,0.375872090945581
"194",0.133035536809449,0.249555426268637,0.252307753818511,0.528943562780939
"195",0.121679233206555,0.372625368947789,0.276730187770287,0.418502943905518
"196",0.112543843316147,0.336429713576031,0.245842489799556,0.443004846458188
"197",0.0974954812249482,0.00926550595248033,0.0986473676121366,0.00920892190352411
"198",0.113816053585375,0.26967224608035,0.228492546663182,0.375509778291564
"199",0.118556766048417,0.240417297589749,0.236087770933827,0.469188869372901
"200",0.139990319805575,0.296807598385122,0.266517653905238,0.487516762761321
"201",0.122305860947818,0.305317140171835,0.251784634656714,0.496486189537405
"202",0.0947359905461929,0.397567502079277,0.257443703383916,0.434264877202797
"203",0.126409423360176,0.383790915587954,0.279726004998137,0.426593408222256
"204",0.0262844952089334,0.0329874848424167,0.0314013165645648,0.0328897027440144
"205",0.111583771465663,0.404866920867417,0.234827262387012,0.437312577357774
"206",0.117318693853268,0.221500584227376,0.226375418956912,0.408786114194064
"207",0.121203222009339,0.245170137428144,0.226984324997214,0.438404705698077
"208",0.115003419375442,0.441591921043563,0.267035860035724,0.374240196064066
"209",0.118056746824492,0.287202873836401,0.243428534900041,0.36245515552928
"210",0.137672185880412,0.214442252504795,0.238300560029367,0.463024341891116
"211",0.118805886575448,0.288802111701424,0.239742083464687,0.439109929454595
"212",0.111141220897675,0.272532863597634,0.212272234443243,0.44693972710167
"213",0.13033124260426,0.273153983260558,0.233454338475669,0.509111908088848
"214",0.0952592065945094,0.301028514718641,0.209777040371512,0.38580476015498
"215",0.108365041892036,0.283781444052322,0.229753367494117,0.383476518294143
"216",0.116421020197436,0.322197337956925,0.254861447451071,0.407064315264364
"217",0.0910847460049545,0.40920355808884,0.240196412504812,0.363079755321439
"218",0.147434423997773,0.272816298386572,0.265988813307047,0.647382885064467
"219",0.124487390112432,0.302860386313629,0.258106209862779,0.453515549978434
