"","tau","phi","kappa"
"90",1.46627668821329,0.562516326295184,0.286830404565522
"91",1.25628934419102,0.923121034010857,0.334592508373402
"92",0.581787618332324,0.253779808653121,0.706760273017981
"93",1.42014970746165,0.681092786362378,0.367134711469854
"94",1.38402220197869,0.645633738601824,0.359248980565422
"95",0.633146258665475,0.16520669366423,0.697348824729697
"96",1.00256516801528,0.449671982639458,0.519844268191915
"97",0.808167298111448,0.650868689673541,0.53231059137069
"98",1.49450781513356,0.84906743598301,0.237496012686957
"99",1.38736802883251,0.905055362849612,0.287798753166062
"100",1.45511152527268,0.920700616570943,0.307089749870153
"101",0.405027784063316,0.245909055919063,0.796672799165002
"102",0.424659450486018,0.237366670833854,0.789355431306539
"103",1.07621164839611,0.746159487735585,0.512585304168428
"104",0.853936166878221,0.385515865447611,0.571317185302098
"105",1.16417254771954,0.487416140089306,0.445632120133554
"106",0.737570602030358,0.297090472945864,0.601743735404774
"107",1.32741359001656,0.597718916016303,0.322748168358896
"108",1.15269708878766,0.56803256958909,0.384243008126251
"109",1.6013250638645,0.60522429472228,0.293948384539461
"110",1.10137676114649,0.783070757092496,0.388124021585283
"111",0.430769346623913,0.236321365013183,0.788423700086487
"112",0.371202613088614,0.303877171180022,0.835459834623841
"113",1.7497152230332,1,0.165212202751337
"114",1.62305437694492,0.859480677278752,0.22118312046789
"115",1.23707904422736,0.875801375324493,0.383924778771236
"116",1.07343064006268,0.426420758295096,0.510296240847318
"117",0.677470263735285,0.449233602644854,0.61507371378677
"118",0.947113651693949,0.556182896415015,0.55659473235302
"119",1.12247292497205,0.376030480523412,0.328664518557389
"120",1.08382912369953,0.684197397356994,0.450390910902873
"121",0.75402604659683,0.388640998463113,0.640254748761055
"122",1.42708324646768,0.55544648576621,0.285028433633428
"123",1.14929950705388,0.532321243171968,0.413622700482713
"124",0.325390174410782,0.328221342864437,0.847663776024915
"125",1.54400983843005,0.680684870297169,0.249022452125461
"126",0.814372494881065,0.125004221827098,0.60001350939044
"127",1.13038892695853,0.688062964032772,0.396159761240102
"128",0.951143325075075,0.518403120171385,0.475086465190356
"129",0.451582956778556,0.263601468392302,0.742834307073716
"130",1.55366641877325,0.835457120280322,0.32213507034326
"131",1.21439500941955,0.742103771910774,0.362187495052755
"132",1.15042888784495,0.516511142089257,0.363700836368941
"133",0.4346035015448,0.230094786729858,0.7826982492276
"134",0.399511497517239,0.266325251366286,0.812259634625357
"135",0.392637565848005,0.222597142001012,0.775378966906176
"136",0.753274022024914,0.340589780309261,0.61091217870614
"137",0.986705862607732,0.602482165292626,0.477380369381498
"138",1.30573939527056,0.760083269392803,0.390979759668581
"139",0.454176250338878,0.303371104755508,0.765888530753156
"140",0.871739793132064,0.324137609126899,0.642729592978663
"141",0.301561306937388,0.330281099427255,0.848613801738259
"142",1.26970038054835,0.784444555066186,0.393068651745531
"143",1.46899077122658,0.36131378173777,0.310979938449072
"144",0.38368090301405,0.247601585728444,0.798062682624184
"145",0.298633971241341,0.346912977011164,0.855871635501283
"146",0.465490941453113,0.206663527542974,0.758060841240586
"147",0.407696243351937,0.273733206571793,0.817340392763469
"148",1.04844354252488,0.327270314645138,0.476824579578403
"149",1.12480562688964,0.66410503240019,0.439837835214321
"150",1.13268611110536,0.487975841260299,0.450152373249825
"151",0.311148362377041,0.305320584926884,0.836237704012084
"152",1.16974229182024,0.38648907736094,0.389487321596951
"153",1.29919832848979,0.631833584614708,0.360630743853449
"154",1.1635855222338,0.539233900558099,0.473013803336142
"155",1.05538788964896,0.655985637805822,0.486679041999532
"156",0.300006527285848,0.379120136557013,0.843746600371954
"157",0.430591627635064,0.46952294239697,0.771448180660794
"158",0.399325834382914,0.247417000086352,0.797912027134153
"159",0.534112742728835,0.378341525809387,0.712223737753861
"160",0.732008624583491,0.436946930172865,0.643964676759002
"161",1.03594990622806,0.470459138499888,0.460442757172886
"162",1.17784754986791,0.744221161652401,0.372149493673823
"163",0.396080530017053,0.225711675340747,0.77847845077346
"164",1.00651486369195,0.641616856974528,0.466888313722486
"165",0.370193711709224,0.27445090715048,0.817818055261209
"166",1.11714755560645,0.664276365234172,0.482802057589609
"167",1.05115646604746,0.560527020464923,0.462598943738519
"168",0.466747387467223,0.236959012454605,0.788993043640496
"169",0.79122451761222,0.60085674603093,0.583566043361989
"170",1.44259063731585,0.774647120535356,0.370597453178074
"171",0.759107608315295,0.390436034801316,0.613488997802803
"172",0.434863495377954,0.205121839262395,0.75624243532626
"173",1.41789658100408,0.501212190574576,0.349588724310056
"174",0.36906493830716,0.277457946749675,0.819792510592207
"175",1.20821236976553,0.67267507877558,0.41800945579695
"176",0.965236408741008,0.449825823990254,0.498317874874736
"177",1.13339502686949,0.487180487082459,0.434433619326602
"178",0.956969678865801,0.507065957454723,0.516681980370808
"179",1.55605772762527,1,0.321091741873793
"180",1.16990695415156,0.661128210466571,0.409137901943654
"181",1.40161310405161,0.765263015836732,0.320923883695923
"182",1.03467820665743,0.69095940198665,0.461105100699257
"183",0.950706786973699,0.108340448823207,0.538491850983641
"184",1.21974534221499,0.549728262326609,0.373847360259245
"185",0.680278502368663,0.456574056557238,0.689086607692567
"186",0.385408915847685,0.280221851542952,0.821569946366813
"187",0.360987458796877,0.265383180676937,0.81159318434401
"188",1.42668234221535,0.721751586010427,0.293721612764678
"189",1.46402660033023,0.758276403197544,0.235894258700295
"190",1.20817967216254,0.622007903739558,0.404250654752198
"191",0.433020735565838,0.354007511006809,0.756729923839417
"192",1.15185167716322,0.668686958900541,0.427509106777723
"193",0.975429264101754,0.498487604914355,0.495119428518761
"194",1.10404928048096,0.576532866003428,0.517460978810769
"195",0.448073586111623,0.278128803928554,0.766141134597274
"196",0.966916274374066,0.592972034279236,0.441734252670862
"197",0.323772161583749,0.323066688279633,0.845233192359585
"198",1.3147099586544,0.674706901773739,0.302170934896813
"199",1.17255532509826,0.466101123248303,0.414892552346179
"200",0.8636800398555,0.405064020033207,0.509272704627557
"201",0.992496937611769,0.513678432722205,0.469820011959525
"202",0.912352959916297,0.503690816560339,0.497602995640806
"203",1.2988313936728,0.353379249282052,0.354457557816699
"204",0.594942010325494,0.392238320413946,0.704889875830608
"205",1.27767235440124,0.550142049936842,0.356011918144536
"206",0.461285227665609,0.223289179497996,0.776075132201161
"207",0.556080113757151,0.627217299436995,0.67056865298747
"208",1.49632419645258,1,0.239672664404175
"209",0.526829551165578,0.218286919831224,0.770943673406271
"210",1.02270605004165,0.508506899985974,0.468447998938854
"211",1.16221227120429,0.72574260951436,0.393417394987325
"212",1.11473702087557,0.641770800757062,0.449240602334206
"213",0.55335278087758,0.328342704722032,0.709373539455053
"214",0.463169180377256,0.205540446198209,0.756738875852282
"215",1.50325129522746,0.658135520307898,0.297546123725485
"216",1.71840349529214,0.948996697158959,0.251566421911089
"217",1.52542260745284,0.99828107661373,0.179880318573744
"218",1.21016885413922,0.753725332391276,0.444876672413204
"219",1.04549624984937,0.606042999829932,0.443884973484377
"220",0.9515632292456,0.598472780841751,0.461785503820362
"221",0.376965359012934,0.257318073612891,0.805687959271683
"222",0.369132537910073,0.263320054499449,0.810117007247905
"223",0.942301832085449,0.545169577146116,0.50716431376284
"224",1.42337303932026,0.791062353634201,0.2995211420668
"225",1.36977680873233,0.630353544486265,0.4166197577801
"226",1.20453229443781,0.911724203064469,0.360651648387574
"227",1.33562753875477,0.412301165007949,0.3591038681599
"228",1.0302280969811,0.0850297135718747,0.411970264280198
"229",0.797464933541223,0.421494131574334,0.604432076616457
"230",0.51597249998893,0.185281192315581,0.73013990586353
"231",1.01627605413593,0.519187899671664,0.465117866244248
"232",0.842409443496268,0.632937635775228,0.594995459857563
"233",0.574445634106497,0.39114050625443,0.734544531374077
"234",1.67048397151703,0.892043554613191,0.138925787877818
"235",0.37513518622731,0.271368839121146,0.815748926214484
"236",1.35440136965564,0.81297736678131,0.306146839315756
"237",0.646767382499586,0.152141253041719,0.671358037347771
"238",0.605651729937195,0.177990080225113,0.719085468489241
"239",1.40489352202952,0.651028428405076,0.260582356826569
"240",0.608952097914878,0.381159199025028,0.694913778599761
"241",1.57102724621499,0.268264998750668,0.219171348799709
"242",0.251125987117213,0.351218131633795,0.857638329298632
"243",0.803698623229227,0.480506023581351,0.561299878149985
"244",0.345997023623904,0.389803697203857,0.830393615870635
"245",1.56986074673256,0.757579257656957,0.249588553187112
"246",0.708820277111945,0.491195741064017,0.606210957160031
"247",0.966116304989659,0.553454459763338,0.423558290578963
"248",1.02130198178379,0.703610427000412,0.455595958537424
"249",0.870674769086524,0.579594991671002,0.635395825340652
"250",0.70463093353504,0.500200340774541,0.621166164766107
"251",0.34682344433323,0.300441050634063,0.833578001759487
"252",1.21626401398725,0.708914859033301,0.393081829347678
"253",1.10009582538701,0.495017550519338,0.419780682812756
"254",0.659429379128608,0.51691439009308,0.674194970786261
"255",1.20252694013148,0.530211132266367,0.442241678974269
"256",0.439199280546223,0.214481225658761,0.766879362767398
"257",1.34189670621521,0.416727440126194,0.32364077307701
"258",0.972290489849917,0.526497054194552,0.539635184730153
"259",0.783332908987219,0.514604832464783,0.621212326408502
"260",1.56316313071268,0.876742882873719,0.238224595169258
"261",1.25943784142474,1,0.271158656582906
"262",1.23825143411597,0.696132101402902,0.345533068649063
"263",0.906042363098318,0.643045110840055,0.46197009317202
"264",1.05436163512772,0.468824286163458,0.503596216983185
"265",0.855931771139848,0.548236867631301,0.56507531954276
"266",0.445536744453519,0.216368237188251,0.768912476943196
"267",0.253920470076933,0.377283485537715,0.86747365862373
"268",0.899270980099188,0.633045831293644,0.576614416149158
"269",0.262332721279508,0.323253613145911,0.845322687924818
"270",0.647950962823388,0.319198996991168,0.691451922465053
"271",1.40048308074882,0.830215609548114,0.296946244604007
"272",1.28836247706577,0.810180598284108,0.438866516957416
"273",0.615038610909113,0.454759253277461,0.691864423392228
"274",0.878116782077177,0.654377273377495,0.572900397822385
"275",1.01042949798902,0.0914462614006188,0.453230791131482
"276",0.651329111399901,0.354234847726801,0.662873130745393
"277",1.08789553532514,0.39232959944208,0.441532066054856
"278",0.651792636665116,0.336199670739852,0.620167461150865
"279",1.06186324718721,0.490435722391199,0.526798909453116
"280",0.669081721931127,0.146469402447804,0.658631774524935
"281",0.511653128560048,0.281856675254449,0.782829741697772
"282",1.05807144741837,0.484835091872688,0.507415527272638
"283",1.52631463582719,0.833545975752696,0.239883149488454
"284",0.481092634207117,0.335359180458608,0.768705464323501
"285",1.05804383009255,0.510952405487326,0.446629795976702
"286",0.561434177682482,0.315597372013366,0.740557219185544
"287",1.36007154104281,0.681856170878158,0.212921561896522
"288",1.01596356607244,0.568021997556378,0.41878514526748
"289",0.392164309706436,0.279984683160468,0.821418802501623
"290",1.41233029571844,0.901961427763694,0.340032572094188
"291",1.07507212065359,0.647368130623935,0.506847651076337
"292",0.97565610080475,0.464425528956657,0.492902234508966
"293",1.71746291825566,0.711280639831213,0.212172973277221
"294",1.15664826209145,0.631720512682819,0.389953448264002
"295",0.66537571638598,0.152094519694336,0.671257057121551
"296",1.49589632608772,0.438169898263332,0.307455404589019
"297",1.22187536960366,0.621545419506204,0.371463287240914
"298",0.927891237732288,0.117255121694975,0.573579394424499
"299",0.600589637435705,0.158510893405469,0.684564266052676
"300",1.83194373319407,0.996517482844963,0.217118062737579
"301",0.868945168688209,0.401601341199927,0.512923111721856
"302",0.453542820507808,0.193587013243193,0.741718211555918
"303",0.358705110282655,0.280453211053304,0.821717142006633
"304",1.27121194692267,0.658585865462692,0.387662838669234
"305",0.653096598211164,0.349332117668364,0.699863695675017
"306",0.336696332070769,0.270867221626967,0.815407712680499
"307",0.744821243587081,0.543599447584329,0.574873719413767
"308",0.838041607794161,0.450347585415114,0.590799996194257
"309",0.498191690121749,0.195908526647942,0.744778847273694
"310",0.345126159504808,0.287431124149886,0.826045282507657
"311",1.39386854332018,0.727580868188111,0.340024363958249
"312",1.51110749493499,0.53993776393955,0.27905176768369
"313",0.870743116820843,0.474915772472211,0.553006613541662
"314",1.35961678101839,0.605979704174748,0.376322577514501
"315",0.334658090785095,0.300007687740242,0.83333760419069
"316",0.743998168927835,0.492710929972273,0.609244659176557
"317",1.43889352217616,0.556196820781635,0.38085476670561
"318",0.887743403636171,0.355645127868389,0.500144479934589
"319",0.515198349680503,0.214674600702017,0.767089353670658
"320",1.28391862418286,0.839712616600664,0.289868017597974
"321",1.10479585620351,0.534028115075511,0.458433403821811
"322",0.550443975409917,0.17840144390148,0.719733210076417
"323",1.18423583292606,0.556489897403338,0.405504099936715
"324",1.23169603003533,0.522244786308151,0.370298553151671
"325",1.24574158918066,0.823443426178828,0.37336942194132
"326",0.995412070506815,0.522585036290119,0.546715814887607
"327",1.02325477546116,0.875234148015461,0.389466124426514
"328",1.25984251968504,0.675531914893617,0.37007874015748
"329",1.32858862610276,0.597313705484432,0.362481465401749
"330",0.671845206417765,0.515032188730943,0.625921377272959
"331",2.05122185367244,1,0.129362540886061
"332",0.534121317806857,0.29771016923967,0.709084249560536
"333",0.941539677301906,0.598392417537631,0.458885242929939
"334",1.24196588760223,0.854654505844872,0.346333743367249
"335",0.894063018031308,0.581313369797784,0.541975912893797
"336",0.442295370794561,0.257294124050098,0.805669872234376
"337",1.28288586657812,0.0799759375895757,0.374811955858618
"338",1.492264205367,0.654051804888149,0.221156469015138
"339",0.575058603462636,0.496934402841257,0.690162390375735
"340",0.425715925716161,0.219395127966796,0.772100682164796
"341",0.653007361120398,0.161713337838668,0.690810908560418
"342",0.899581694056962,0.804272814492152,0.557292473397164
"343",1.24466660767616,0.954088414886076,0.266116386983396
"344",1.04952407357587,0.513034995932775,0.467786980945297
"345",0.97794742951266,0.646106954830666,0.539572773299124
"346",0.30101617561434,0.340845470482126,0.853305957302953
"347",0.385354715624657,0.234737612406441,0.77903972727944
"348",0.367432693753641,0.521192231054663,0.820939233063528
"349",0.430698773560797,0.245182959605279,0.796070656457956
"350",0.491230728791144,0.215377405766859,0.767849372026869
"351",1.24520423045654,0.534463838375711,0.44999813142379
"352",0.505875996104941,0.203607209658221,0.754429128104397
"353",1.48724011149171,0.889518349797333,0.116840788900407
"354",0.913588767142163,0.454034323260729,0.559078780336794
"355",1.21746106553964,0.531831923370903,0.399674030798992
"356",1.11767403466936,0.0966292466765142,0.482558317282706
"357",0.784910177746642,0.472093744474801,0.586017838741222
"358",1.16909759482569,0.613034440656229,0.42578703594023
"359",0.380603742897772,0.454646657702187,0.818760122429632
"360",0.550935844599685,0.473937571223157,0.734104322104399
"361",1.49348763309769,0.954863274050856,0.295524701369015
"362",1.39942919806598,0.833529060608596,0.250840900392943
"363",1.08817963710543,0.502227115207288,0.513336477144264
"364",0.993547595236681,0.594762633656285,0.557242604618235
"365",1.16983255877208,0.789872997244281,0.431015292426033
"366",0.985823922793457,0.688908240522637,0.522372130429526
"367",1.12204837101127,0.746301428887042,0.399331707167413
"368",0.433731128847298,0.22041304771938,0.773153175289071
"369",0.927960260313607,0.482075097620678,0.51869281104066
"370",1.00527864449504,0.564055009016812,0.514826909027489
"371",0.468184856037842,0.511639526221733,0.779158086774603
"372",0.462371589172288,0.200704373220953,0.750877376523551
"373",1.15217078165149,0.867585661176796,0.29401300143904
"374",0.738731428406523,0.385059542777185,0.644156344698206
"375",0.313865526665636,0.308412335143522,0.837879376722296
"376",0.405304114065697,0.265271773090118,0.788020860844301
"377",1.52747323248901,0.97291879707446,0.246808070764788
"378",1.42070094242481,0.841330704088527,0.314333521995748
"379",0.824564747065587,0.460701901904718,0.571432044144706
"380",0.810277480652265,0.617522684681251,0.601241397316799
"381",1.1138062809343,0.607082562017625,0.449700454083845
"382",1.46312388591852,0.877717716070306,0.221742613873129
"383",0.737370775196356,0.401961847395494,0.603564099356798
"384",0.797059074244352,0.653646715271814,0.584865065497734
"385",1.31605623526865,0.56132220836463,0.304410023642361
"386",1.30852258524894,0.278652722442975,0.314191517165124
"387",1.17048430152254,0.580148094143742,0.466019935436796
"388",1.17946017775114,0.386819217077351,0.407901517193204
"389",0.46257397300537,0.360070067042429,0.772802567286164
"390",1.59441410217803,0.75685092321128,0.23639171351627
"391",0.663985728893795,0.256180586447391,0.666673830876609
"392",0.359523135414671,0.272027000118361,0.816194716045669
"393",0.813743070240945,0.379299120529838,0.497689462814232
"394",0.311600608754209,0.325416565793633,0.846350784637964
"395",1.20739408708593,0.774323217499609,0.393878470338391
"396",0.831244870602879,0.333854839182518,0.577619476319675
"397",0.615730655572026,0.14356926880289,0.65173605454071
"398",0.458157472045538,0.213463723648011,0.765768163575901
"399",0.469889558760596,0.229841242450388,0.782458537610835
"400",0.337514907708907,0.26843258751148,0.813733494641883
"401",0.606484208828299,0.147406970698737,0.660803015196701
"402",0.987707162448885,0.54822971502176,0.486638688955881
"403",1.79435526679665,1,0.0595622291422183
"404",1.46810343714091,0.838596961459038,0.361694157764822
"405",1.11966452226067,0.499445864415726,0.465808911135179
"406",1.3861985472155,0.55492106147128,0.306900726392252
"407",1.52174633783512,0.729177597516734,0.301951221176549
"408",0.990998191584912,0.558885094385213,0.524473036667509
"409",1.53139980579493,0.717197170806067,0.260907429635652
"410",1.15715018672325,0.231798470192793,0.463288410610737
"411",0.945582500740034,0.329155774996971,0.530961061140857
"412",1.39519787545724,0.714276397463828,0.314735817555385
"413",0.935118799454452,0.488534349142331,0.513971517955067
"414",0.777978432725782,0.257814308636328,0.628827083623196
"415",0.423769213734034,0.251552015920875,0.801233952282348
"416",0.867887309875811,0.340631684527404,0.573729219117971
"417",1.60127628109988,0.494429967064503,0.176298209310764
"418",1.00874726086059,0.606420772078426,0.487425172326934
"419",1.51228103129665,0.772301867228634,0.277112317735827
"420",0.989021908313401,0.626150464329811,0.483809024888622
"421",1.32824621105851,1,0.318148762290292
"422",1.49588353908828,0.703576016632925,0.273842942190155
"423",1.26034224696191,0.661875667714409,0.388183375261211
"424",1.45877048045672,0.821394303314182,0.257245172883546
"425",1.32135699251958,0.709533029410477,0.357316637879583
"426",1.60153338060397,0.686781657740321,0.285029740801798
"427",1.23851672549352,0.688369117665927,0.425548828620815
"428",1.05830547567989,0.395873717315337,0.448799231416722
"429",0.692815059041658,0.303389482659529,0.630695597525769
"430",1.11039383397886,0.928718551486876,0.460973867000554
"431",1.66370835025722,0.926486085154719,0.128035455840029
"432",0.974095648649305,0.538438140187175,0.523436571110907
"433",1.63383491450342,0.977293903445801,0.181445433615523
"434",1.46347359505465,0.828709611404459,0.295051254790631
"435",1.11264558143856,0.443098514667612,0.442562333948616
"436",0.625181262552081,0.430876656549629,0.68037767763186
"437",1.5207554281615,0.85067911169745,0.175295320953632
"438",1.61133008273784,1,0.128068137046622
"439",1.28858775946563,0.620067631952875,0.350510201882242
"440",0.594413408928444,0.172607142535627,0.710324849450076
"441",1.15984229771054,0.582729231763492,0.445582075664177
"442",1.23298558866728,0.638105222348728,0.435446159035128
"443",0.392298049274993,0.264959231668677,0.794393055935538
"444",1.03785875042436,0.838191357911119,0.491245710576293
"445",0.285764543557252,0.337340660951126,0.851781875748313
"446",0.75428716645253,0.513904839946743,0.564499326528562
"447",1.21376756034493,0.535323678423124,0.400312470185313
"448",0.807322429371286,0.124609445173404,0.59874630746954
"449",1.14470179862853,0.628681724304584,0.376524074821062
"450",0.435351447907147,0.206270130561626,0.757599416532768
"451",1.48849488773038,0.740817811622683,0.187502790540186
"452",1.14852033840683,0.945835183979905,0.412821912879945
"453",1.26671085489336,0.779347260166887,0.331903557545698
"454",1.1518600569892,0.560055047156749,0.445154115130445
"455",0.685565760467698,0.398488615474463,0.690629169464035
"456",1.01896496787697,0.75492002527958,0.499526047211706
"457",0.701984439084081,0.425701539827364,0.641112249957013
"458",1.31606580347031,0.754836206998055,0.36483310643325
"459",1.58907862835959,1,0.189245597775718
"460",0.695703639796105,0.522813259928372,0.646492052949134
"461",0.329505256387499,0.31987350112573,0.84368820854483
"462",1.30020067302455,0.780830098380138,0.358875407778822
"463",1.29557955121904,0.614379970838993,0.387722329291567
"464",1.2311829914742,0.524129100720466,0.323525828860328
"465",0.663553328711265,0.149498157431692,0.665547717383435
"466",1.73490513544246,1,0.162690571697653
"467",1.03755622676655,0.633949245510502,0.464072196918102
"468",1.48347534014605,0.671323564518203,0.255283463782105
"469",0.825576083214403,0.554789683737944,0.597672474067055
"470",0.971334548801979,0.510638730390566,0.518187227776796
"471",1.22062074286277,0.849347019055003,0.320367069675517
"472",0.702501039206693,0.308139247126507,0.644483279753698
"473",1.16275702305064,0.854838887936694,0.348230368245157
"474",0.456661814751983,0.205403642191857,0.756576857808112
"475",0.996032010670835,0.492404211522024,0.474666661038589
"476",0.447824713806952,0.257690110532279,0.805968494884336
"477",0.711079052537361,0.38005603335454,0.675602622017627
"478",0.689387681502044,0.62198685860665,0.658041824651764
"479",0.679902011243218,0.452943736902991,0.676237137503229
"480",1.06138987453993,0.629777006562156,0.450626358933786
"481",1.50540860009656,0.813063114127033,0.257688067013532
"482",1.25567853360601,0.700389866662584,0.314585953271828
"483",0.353899790542562,0.283130995489949,0.823403298132454
"484",1.53543839027483,0.8943668920577,0.270228901960633
"485",1.04325609335682,0.621064074837183,0.424251604107713
"486",1.23420576406906,0.456928416653291,0.484889080104731
"487",1.44224355713026,0.632055610897144,0.29023446991621
"488",1.1488407368319,0.78358674931137,0.384988898912258
"489",1.39327392524892,0.821221193249056,0.24606389326357
"490",1.49357519563123,0.605135544472661,0.321102183803987
"491",0.606548974127687,0.164207680250784,0.695507543108591
"492",0.959226115757369,0.449102927470821,0.505553548578676
"493",1.20652563339191,0.51529036447833,0.445530499360334
"494",0.604496521599299,0.561666881364625,0.667127466079681
"495",0.48053461285904,0.193118242716934,0.741091264623363
