"","tau","beta","kappa","mean_E1"
"54",0.147220074985655,0.0892743323420775,0.0870632540007321,8.15813952299529
"55",0.1847099398436,0.0859133348040612,0.0750663305143928,0.552614536777599
"56",0.0769181362122406,0.0586962298372719,0.068106820013953,0.957586672970408
"57",0.202607148863029,0.0807330149227276,0.0812400842747879,0.1779307698215
"58",0.142614528168229,0.105396349706778,0.064858449414185,2.38646325679433e-08
"59",0.302160897990275,0.229077717561961,0.0893874236644101,2.98361909770619e-07
"60",0.128780919921647,0.0761970181207156,0.0743233280378575,2.86285550711777
"61",0.165883570827187,0.09301509314062,0.0640825212206787,3.06274228747558
"62",0.220600118566622,0.130764060417886,0.0982887898858442,3.73348959813915
"63",0.213772613266829,0.149497674992494,0.101057970453948,1.41056354828983
"64",0.12589319682165,0.0733003584829697,0.065898176790703,4.81283838133706
"65",0.132917349777631,0.0914863002568857,0.0606707341525255,1.21463931996296e-06
"66",0.200692323470473,0.127870786245881,0.101269149624024,23.8385626604722
"67",0.148505229011022,0.102642253397428,0.0648677590205297,5.72230429105551
"68",0.291795114726961,0.163585791047919,0.0937432526438117,16.8170926226845
"69",0.0836245421197694,0.00116375160096147,0.0363517829025212,12.3421723507505
"70",0.239843650400616,0.324519177178526,0.0807059578955994,3.06851560082766
"71",0.158918043540583,0.115143282039524,0.0699988880479252,2.15704818144208e-06
"72",0.129980781293471,0.0714752801940825,0.0666048160259768,18.6514999440752
"73",0.0895197904379787,0.00155755971962163,0.042083901894976,4.06073942427341
"74",0.137161722421406,0.0701961887757743,0.0708844382510449,8.64508866582823
"75",0.10062380285371,0.0575819608704866,0.0765507934786961,2.94855484931887
"76",0.226097062134107,0.150329427569227,0.0867974361225784,3.79240680285746
"77",0.201810840315471,0.120742870796085,0.104853447525957,10.4697936380307
"78",0.0860509560644985,0.00122726861494852,0.0295319325991631,23.8801398963618
"79",0.195972882257445,0.0942612500395035,0.0857434116991441,15.0402384185285
"80",0.215716508657376,0.109252856124045,0.104054929027731,5.88736660251673
"81",0.133685908513039,0.0789028436095125,0.0666583704773808,2.64981111343848
"82",0.123004593533399,0.0532075218387115,0.0793808683003999,0.0504883194421918
"83",0.254266308037535,0.108091891883084,0.0963719475130684,5.96181823379744e-07
"84",0.214717279411481,0.124425864411836,0.0938747726355543,4.2078079301719
"85",0.125031511131234,0.0785934885719131,0.0757741877380713,0.889570257107713
"86",0.188715368329187,0.109142187830794,0.0924067869336318,7.95021788259397
"87",0.163116469841172,0.109977015577126,0.0766438439377911,7.48446914733592e-09
"88",0.11442156591081,0.0711097368514846,0.0747854473072719,16.9856100629573
"89",0.153214273890826,0.0857384707483101,0.0750841401222356,6.34932243770969
"90",0.158225375333215,0.108355139881578,0.0815796173176289,14.9776220716423
"91",0.215734001912088,0.0819163287389582,0.105941272619551,15.0109726643433
"92",0.138404114770233,0.0937064193839509,0.0986305967487111,1.29383605780628
"93",0.0951245653337822,0.00149543525409897,0.0308773800454815,0.000196599985344639
"94",0.252592954407522,0.127263498777858,0.122588098290172,24.2675653236565
"95",0.19727493053144,0.0958126019888432,0.0880038340766132,6.93028604011291e-07
"96",0.22766968622973,0.125407257503819,0.0998734577387357,21.6935107695439
"97",0.13854190245292,0.0911080203329252,0.0713705516786295,2.23841236075748
"98",0.160507273420163,0.0981695609589801,0.0989925876070196,4.01434667558271e-07
"99",0.161094287020123,0.0873081184238206,0.0742261526853418,2.34641314604912
"100",0.138849927825527,0.0779503599780559,0.0782940070083136,0.000344469976910578
"101",0.12367518847644,0.0822679661153991,0.0662727503074198,0.00142857361336554
"102",0.243214588619469,0.144340998834914,0.0905890454329917,5.57937781906513
"103",0.224566015478593,0.165438756985776,0.0820118576262596,9.5052370979863e-08
"104",0.188027019188231,0.0702754164827739,0.0949877454566443,24.2823925026222
"105",0.15424275953533,0.0672688193612331,0.0863075349508745,20.5847173267959
"106",0.209560349822951,0.146741991289601,0.0915423324669223,2.7599401419795
"107",0.224556896302059,0.12452354929629,0.0954149341692794,4.72088419373064e-06
"108",0.275983337099721,0.140612928936142,0.118396665818288,4.11913596035611
"109",0.13109937165709,0.0610441284573143,0.0866890962661775,15.7553573274236
"110",0.150194960978548,0.0929452693895817,0.0713394841236563,2.72839742371663e-07
"111",0.14951326390621,0.0589890751108218,0.0902512822717912,8.49588415088638
"112",0.122762504766889,0.0854983945454572,0.0687464709536011,14.354596704498
"113",0.14756867456417,0.0729693673062076,0.0907620852245411,12.769699372824
"114",0.202739046628234,0.0996779834337543,0.0786745106231478,1.89222568023313
"115",0.164118927586739,0.090641148195481,0.0800002485745309,0.0794373514319635
"116",0.192226950957099,0.1248587346015,0.0698705410607411,5.206186785801e-09
"117",0.241483397321968,0.107413014426851,0.0978723676918845,2.95515342204654
"118",0.111644938971714,0.068962637585844,0.0711281962999426,8.60565666079527
"119",0.136220740793715,0.0808998425123946,0.0726930409212212,2.37349753633326e-09
"120",0.269366494739426,0.126583700558914,0.102099418441042,5.13474352245312e-08
"121",0.332515249445537,0.187219627353071,0.169893543982023,16.0045046196577
"122",0.251232320531606,0.121379861225175,0.0978822650904155,8.55840138694862
"123",0.218565721643555,0.129830060518936,0.0982017538532647,4.3655903095645
"124",0.097587165088784,0.00194863507712186,0.0320276756891919,0.610988099051859
"125",0.156410441635658,0.0653687181732001,0.0911407269429101,10.3658202429223
"126",0.220326458416771,0.0901221208146561,0.105854143317518,9.13972810827905
"127",0.145085543546325,0.0708885691530095,0.0847089613481344,4.91704047517232e-07
