"","log_tau","logit_phi","logit_kappa"
"389",0.128776817507422,0.300467235492697,0.153880988704067
"390",0.116049767753,0.704853314606846,0.154275621403645
"391",0.128650004078783,0.265635355841544,0.154427006253252
"392",0.117712998845687,0.265317346960608,0.142947159816568
"393",0.113182759250767,0.652288507303964,0.144113367558775
"394",0.12703584513062,0.27636727726236,0.153323684377571
"395",0.114483520191847,0.467724877293943,0.148181412161487
"396",0.126959548426009,0.223757350037203,0.150664886230602
"397",0.137890972040529,0.22188370548558,0.162087582414653
"398",0.12032521734819,0.304125386910584,0.151341871848409
"399",0.149459425765628,0.216092613468976,0.176942261470932
"400",0.119337481979566,0.367012171362098,0.148186186807574
"401",0.0740609322523448,NA,0.10144088347109
"402",0.131324722744183,0.335238388867836,0.162446470687427
"403",0.139202176155258,0.257274377737403,0.171522230379426
"404",0.153328079375125,0.209701876041185,0.176844892497205
"405",0.122586311075814,0.284271265296704,0.149692746827853
"406",0.122764262168774,0.415838849310904,0.152885878849566
"407",NA,NA,NA
"408",0.130654880387303,0.264648066167665,0.153499497763349
"409",0.110891693247933,0.371310263005002,0.135892390536117
"410",0.0736354947366601,NA,0.0975788851829129
"411",0.125257153871699,0.493587340201497,0.157153007233667
"412",0.118950094206416,0.269416504686608,0.148400948738121
"413",0.116422943085194,0.29248460453349,0.145009542279876
"414",0.137664416922215,0.248356902057749,0.162279641861183
"415",0.113030721155134,0.349964087956715,0.13986921418374
"416",0.15392417067609,0.228185481570733,0.186685411070804
"417",0.156796874130514,0.310262277773869,0.200990635923402
"418",0.127544564870933,0.31381006063468,0.155645054212842
"419",0.130868983491662,0.337261582129305,0.164450708060524
"420",0.13149302444598,0.239626267782445,0.161848416972628
"421",0.111570005420304,0.526999029201741,0.13999860556508
"422",0.123674268528268,0.310621693660044,0.150830758697645
"423",0.124112909864122,0.381384855607466,0.152617054744049
"424",0.130841297505933,0.26700186091178,0.159264426740695
"425",0.0716817705057879,NA,0.0939370610333965
"426",0.138770047243465,0.302825218694625,0.170885144546889
"427",0.126480815219593,0.227474660856468,0.148699296866681
"428",0.126950873115956,0.335743876085881,0.160430460366052
"429",0.0695423005386161,NA,0.0953930942842044
"430",0.0730154941497254,NA,0.0991113847935835
"431",0.131526824789576,0.253922854480547,0.159964518771114
"432",0.121213402584419,0.410468015610924,0.150517291958105
"433",0.114182513415554,0.495224940612042,0.145514327238879
"434",0.148570942445752,0.234859320751019,0.175496583982258
