"","tau","beta","kappa","psi","mean_E1"
"36",0.0992103567690401,0.0648039025524238,0.0670527215192045,0.679697933295368,5.84785365309072
"37",0.249374700718543,0.126192228524218,0.102345309570725,0.0293540882469077,0.0127433037359113
"38",0.136529364271843,0.0919499223902691,0.0602182408180064,0.0476680042053898,2.1639808712762
"39",0.121602306028234,0.0800667730235056,0.0654453974575714,0.130141220295431,0.0178831731017412
"40",0.13843578275258,0.0959284670299475,0.0643107322891241,0.0490657988317232,3.09078799539711
"41",0.121496914340696,0.0696655831784721,0.0702953939974759,0.357373703208948,11.1460863847837
"42",0.136270583437878,0.0853401007474369,0.0740956929989353,0.195381164811624,5.59174260727238
"43",0.109912198611953,0.0801425007048218,0.0690118795764595,0.107522976547007,0.740507747204211
"44",0.11036850401312,0.066961375267734,0.0718865093952387,0.456187037057923,1.25027740076991
"45",0.131260359595849,0.0725687269705577,0.0557391272182991,0.129227816626508,0.30427080081756
"46",0.147872194797587,0.0866872223419873,0.0729446654813606,0.174696651198401,5.95161265803084e-08
"47",0.316575587760357,0.221589441440465,0.085042586629091,0.0185980364797241,13.3082730467806
"48",0.0892125013635808,0.0639490640050722,0.0548845160854606,0.339104470478149,21.1440045848517
"49",0.168520246207118,0.115060508802739,0.07079551554983,0.0662315127130419,1.92432071018345e-05
"50",0.00285809804979044,0.00119146962191045,0.00122558262703902,0.00259458335335451,0.243537533195827
"51",0.160796114579565,0.0869497363044574,0.080583816789521,0.0621145249023781,30.4724140442136
"52",0.166748253083011,0.0802488438449626,0.0741276632367747,0.152580237725794,7.18633074387836
"53",0.175469180955077,0.107644937737616,0.0848462962938196,0.154989166738589,0.221099646653538
"54",0.285669985395603,0.104566280439582,0.1137563194958,0.0279350098135651,23.2526402472486
"55",0.176177252547102,0.109492738848483,0.0705222753305043,0.113933189616123,7.18746809753968e-08
"56",0.334840825672848,0.101243614425129,0.116010129030228,0.0166829814438111,30.5389506258463
"57",0.253907544020863,0.128287698207813,0.0986211490996684,0.132713127220671,11.6390120977454
"58",0.238284252812235,0.155300976980449,0.097621641096265,0.0473163395591073,13.0769317975099
"59",0.186040867384031,0.113111367026456,0.0684109834076983,0.0156339214305107,5.17278655693989
"60",0.131206993997992,0.0813090646653147,0.063002412345907,0.139412015109131,4.12521671192905
"61",0.138667446870856,0.0710673546256762,0.0688654483324772,0.205224276019985,6.00315923690928e-05
"62",0.216880661110597,0.110796941530102,0.0840538573268483,0.0776037965216464,14.4014992274423
"63",0.164338792106849,0.108549855470118,0.0704190805565412,0.0768524727866575,0.000527134468516749
"64",0.146066207767301,0.0877831137569792,0.0801873109595368,0.307154193808916,11.7994195510794
"65",0.150914288111743,0.0647814492724473,0.0762670454460879,0.217289178232135,1.75174428153856e-06
"66",0.193891262717698,0.0889454179785722,0.0931160937383189,0.0540497574578221,22.3130735080428
"67",0.251344350373769,0.127670388086351,0.104982112197769,0.0775611914212074,16.1391677938634
"68",0.190028805130016,0.104983486336153,0.06865748022283,0.0468377509186494,7.97457991236173
"69",0.174759808663436,0.0825235389252709,0.10580873635118,0.156153372573234,24.7602456123036
