"","tau","beta","kappa","psi"
"671",1.21143968540821,0.380881902730673,0.405574246610298,0.681642424930576
"672",0.393139534422577,0.76191659244478,0.789989564945204,1.31540818789541
"673",0.625916626175656,0.694457083646124,0.654189709295218,0.591869358889363
"674",0.553259294933908,0.799189998220867,0.751008418121554,0.592053042458567
"675",0.414617452076655,0.749166371364482,0.800664686501608,0.830407809536313
"676",0.823506719015682,0.549183830169282,0.597504047401915,0.357056934272131
"677",0.908222250883083,0.398907442885344,0.535198438647347,1.03290607905412
"678",1.117648567944,0.28510824625572,0.443955936346271,0.715222280095837
"679",1.43699282539838,0.206041542232709,0.324086159266988,0.31148996609856
"680",0.57711595655229,0.824818567478233,0.71458162386138,0.555785394663317
"681",1.31645930061675,0.276797650852391,0.325584374684043,0.114400277798705
"682",1.22407968046054,0.215166450214678,0.369680906045035,0.485773122966149
"683",1.25488611984987,0.366718933949605,0.384859745171631,0.413200174740035
"684",1.1569100558633,0.260129802434459,0.394287928867383,0.5492169776971
"685",0.641205947641602,0.670910866905095,0.686605108679569,0.537812739238583
"686",1.00183211179994,0.28437244433038,0.448937232233256,0.469993286705451
"687",1.39530969311893,0.632297397982623,0.398573408138393,0.557175357912421
"688",1.14294704442676,0.331706726541058,0.405952679611871,0.410245670328513
"689",1.142089784985,0.405693276111004,0.488311028232525,0.415282525370166
"690",0.784899631041341,0.626948519539984,0.544721791739361,0.580658098108739
"691",0.544040441326617,0.761426714681861,0.741916299180922,0.642696179454852
"692",1.30612722044481,0.275118218584402,0.357220856080311,0.476253896755614
"693",0.990498540350676,0.391605095469386,0.470321636176109,0.564777881996366
"694",1.0422183138118,0.299264089022647,0.499895242892609,0.667061847319798
"695",1.18381512339139,0.405293920595463,0.435202708305633,0.434588655242275
"696",1.07362674032523,0.3339838104028,0.469027329216009,0.747811923140127
"697",1.28763397250281,0.329594029725096,0.3265512696115,0.17192560037671
"698",0.895505049855848,0.507831060668003,0.50850436341611,0.425186158743594
"699",0.944860538763351,0.531843653640552,0.495266806216158,0.73957481361466
"700",0.515486286745467,0.826959509314659,0.711050287698729,0.398616595870748
"701",0.784583635814761,0.601647943446678,0.586190065498544,1.10910015437381
"702",1.06415652074325,0.546802802029367,0.496138011011718,0.408186207250296
"703",0.971910580853687,0.47215158057748,0.468320251174132,0.616826856039715
"704",0.943418855971955,0.402814079870513,0.428923210670729,0.283805510768849
"705",1.60538863463809,0.423905983048347,0.27685196637924,0.33657004840752
"706",0.985981052869443,0.601212132435072,0.493849562182011,0.225119724722727
"707",0.462781795779252,0.791262316536586,0.76046490901695,1.63663433942686
"708",1.58339457137528,0.294548258295313,0.213024566910892,0.241198706026741
"709",1.22325477010231,0.308299976926942,0.415270186375571,0.409414237837582
"710",1.08700009365844,0.504288347800879,0.516888847262916,0.419540676271765
"711",1.13888365070823,0.239920251740769,0.408064630609029,0.558279260863317
"712",0.636620340529777,0.845433779388647,0.676514054608853,0.757024696051351
"713",1.01623217352752,0.344911220241928,0.479922122043236,0.787051760880001
"714",0.859846830196685,0.570268785179471,0.600442922771057,0.389568572247877
"715",1.40439241926131,0.41367348836393,0.371355228620722,0.434970120547608
"716",0.402957738934071,0.754068502910142,0.79669135270733,0.384732708172299
"717",1.17598201987937,0.381372434660873,0.401840274730735,0.187634578296078
"718",1.01963800387369,0.589929674364545,0.500666991246969,0.555697996243464
"719",1.24714008992981,0.345368865734696,0.412280824726763,0.553284370541355
"720",0.822000915146335,0.574753741623413,0.591856546600628,0.812600485666991
"721",1.15459373531856,0.390352840017044,0.426146254811851,0.233006254949509
